id,year,month,state,tot_no_pw_reg_anc,no_early_anc_register,early_anc_register,no_anc_4_or_more,anc_4_or_more,no_pw_given_tt1,pw_tt1_given,no_pw_given_tt2,pw_tt2_given,no_pw_given_tt_booster,pw_tt_booster_given,no_pw_given_calcium,pw_calcium,no_pw_given_ifa,pw_ifa,no_pw_given_albendazole,pw_albendazole,tot_c_section_deliveries,c_section_deliveries,tot_chld_born,tot_still_birth,per_still_birth
3031,2017-2018,April,Andhra Pradesh,73308,57049,77.82,61086,83.33,66541,108.93,60416,98.90,5891,9.64,32083,52.52,61359,100.45,17925,29.34,20048,36.11,55881,461,8.25
3033,2017-2018,April,Arunachal Pradesh,2880,994,34.51,519,18.02,1609,310.02,1186,228.52,418,80.54,294,56.65,1089,209.83,153,29.48,244,20.12,1355,10,7.38
3034,2017-2018,April,Assam,67067,56869,84.79,37833,56.41,56794,150.12,45562,120.43,5292,13.99,4908,12.97,44300,117.09,3633,9.60,8106,21.53,42447,826,19.46
3035,2017-2018,April,Bihar,287667,178284,61.98,83500,29.03,170474,204.16,138839,166.27,95501,114.37,29939,35.86,115685,138.54,13081,15.67,2832,2.65,136582,1592,11.66
3036,2017-2018,April,Chandigarh,3533,2224,62.95,2230,63.12,1716,76.95,1096,49.15,363,16.28,1899,85.16,2225,99.78,1279,57.35,639,34.69,1835,39,21.25
3037,2017-2018,April,Chhattisgarh,50344,45136,89.66,39411,78.28,39902,101.25,36230,91.93,11985,30.41,21882,55.52,45041,114.29,22688,57.57,5301,15.61,34607,701,20.26
3040,2017-2018,April,Delhi,79343,28020,35.32,27875,35.13,26772,96.04,19095,68.50,3489,12.52,24821,89.04,29897,107.25,10188,36.55,5061,31.79,16621,283,17.03
3041,2017-2018,April,Goa,2225,1223,54.97,1589,71.42,962,60.54,857,53.93,167,10.51,908,57.14,1085,68.28,272,17.12,620,36.64,1694,15,8.85
3042,2017-2018,April,Gujarat,121815,95659,78.53,80281,65.90,94914,118.23,77861,96.99,26576,33.10,102393,127.54,107837,134.32,82379,102.61,13963,15.42,93029,1011,10.87
3043,2017-2018,April,Haryana,55815,40418,72.41,27594,49.44,41057,148.79,33683,122.07,14393,52.16,44608,161.66,31132,112.82,31086,112.65,5151,18.15,30252,474,15.67
3044,2017-2018,April,Himachal Pradesh,12013,10104,84.11,196,1.63,8079,4121.94,30,15.31,11,5.61,0,0.00,0,0.00,1,0.51,1226,21.99,6265,88,14.05
3046,2017-2018,April,Jharkhand,80971,41091,50.75,52339,64.64,66774,127.58,53129,101.51,14359,27.43,14088,26.92,49303,94.20,9025,17.24,3969,7.49,55900,683,12.22
3047,2017-2018,April,Karnataka,91076,71164,78.14,78753,86.47,77875,98.89,67231,85.37,25674,32.60,35485,45.06,65496,83.17,38090,48.37,19406,26.26,73864,771,10.44
3048,2017-2018,April,Kerala,51172,43788,85.57,24937,48.73,40832,163.74,21584,86.55,435,1.74,2865,11.49,15883,63.69,824,3.30,16809,40.65,43910,196,4.46
3049,2017-2018,April,Lakshadweep,79,59,74.68,87,110.13,44,50.57,45,51.72,10,11.49,77,88.51,99,113.79,8,9.20,21,30.88,68,0,0.00
3050,2017-2018,April,Madhya Pradesh,156104,98803,63.29,97278,62.32,116769,120.04,93879,96.51,34064,35.02,114280,117.48,141560,145.52,85690,88.09,9056,11.75,81828,1298,15.86
3051,2017-2018,April,Maharashtra,185998,134841,72.50,151678,81.55,124090,81.81,104472,68.88,58363,38.48,122680,80.88,148003,97.58,67509,44.51,25895,19.84,130695,1156,8.85
3052,2017-2018,April,Manipur,5115,3380,66.08,1621,31.69,3709,228.81,2508,154.72,846,52.19,778,48.00,2404,148.30,422,26.03,772,32.27,3009,15,4.99
3053,2017-2018,April,Meghalaya,10864,4048,37.26,2996,27.58,4516,150.73,3393,113.25,2280,76.10,860,28.70,2406,80.31,183,6.11,475,13.07,6602,127,19.24
3054,2017-2018,April,Mizoram,1940,1462,75.36,568,29.28,1221,214.96,1300,228.87,540,95.07,26,4.58,345,60.74,27,4.75,189,13.42,1577,11,6.98
3055,2017-2018,April,Nagaland,3314,1107,33.40,222,6.70,1555,700.45,1037,467.12,175,78.83,26,11.71,118,53.15,0,0.00,182,15.53,1417,18,12.70
3056,2017-2018,April,Odisha,66326,55371,83.48,43979,66.31,57768,131.35,47491,107.99,6262,14.24,6141,13.96,44402,100.96,14026,31.89,7355,16.75,45969,1046,22.75
3057,2017-2018,April,Puducherry,7343,2455,33.43,5995,81.64,1704,28.42,1695,28.27,121,2.02,1592,26.56,1946,32.46,966,16.11,985,31.26,3109,45,14.47
3058,2017-2018,April,Punjab,45988,34840,75.76,21120,45.93,41743,197.65,38170,180.73,1463,6.93,6600,31.25,27415,129.81,3622,17.15,7232,35.04,21244,372,17.51
3059,2017-2018,April,Rajasthan,182869,117686,64.36,17685,9.67,111331,629.52,83263,470.81,58772,332.33,21075,119.17,88579,500.87,17095,96.66,9984,11.92,84531,1887,22.32
3060,2017-2018,April,Sikkim,768,617,80.34,401,52.21,614,153.12,579,144.39,89,22.19,100,24.94,274,68.33,113,28.18,160,32.13,498,9,18.07
3061,2017-2018,April,Tamil Nadu,85821,81332,94.77,79374,92.49,74992,94.48,69950,88.13,16613,20.93,34464,43.42,69104,87.06,37122,46.77,33074,45.13,73188,590,8.06
3062,2017-2018,April,Telangana,87366,44768,51.24,55969,64.06,62259,111.24,56763,101.42,11378,20.33,44399,79.33,65513,117.05,11670,20.85,20005,43.69,47504,449,9.45
3063,2017-2018,April,Tripura,6058,3834,63.29,2500,41.27,4354,174.16,3677,147.08,360,14.40,0,0.00,1875,75.00,92,3.68,878,24.47,3885,50,12.87
3064,2017-2018,April,Uttarakhand,19896,12361,62.13,7552,37.96,16141,213.73,14013,185.55,2285,30.26,2518,33.34,14460,191.47,695,9.20,1253,15.03,9730,115,11.82
3065,2017-2018,April,Uttar Pradesh,453711,212044,46.74,161991,35.70,366152,226.03,270598,167.05,78350,48.37,89878,55.48,363364,224.31,37769,23.32,8730,6.07,190820,2520,13.21
